address,x,y,z,lat,lng,id_sensor
Calçada da Ajuda,-92781,-106663,0,38.70263097,-9.199692206,0001
Restelo - Rua Gonçalo Velho Cabral,-93600.6515,-106330.6078,0,38.70553838,-9.20915802,0002
Cais do Sodré,-87898.5003,-106426.0596,0,38.7052635,-9.143602756,0003
Alcântara - Rua dos Lusíadas,-90989.1053,-106364.6055,0,38.70550458,-9.179135475,0004
Avenida Vinte e Quatro de Julho,-89030,-106299,0,38.70629477,-9.156625047,0005
Avenida Infante Santo,-90000.2293,-106196.9223,0,38.707116,-9.167790678,0006
Santa Apolónia - Avenida Infante Dom Henrique,-86150.59242,-105527.2726,0,38.71271031,-9.123678666,0007
Baixa - Rua do Ouro,-87413.3926,-105994.752,0,38.70919626,-9.138081068,0008
Praça do Comércio,-86288.2424,-105644.2158,0,38.70689586,-9.136210072,0009
Alto da Ajuda - Rua Sá Nogueira,-92368.6953,-105730.1565,0,38.7110759,-9.195077515,0010
Avenida de Ceuta,-90622.7279,-104679.5295,0,38.72071916,-9.17514452,0011
Rua de São Bento,-88730.0222,-105450.5565,0,38.71396664,-9.153285525,0012
Rua Damasceno Monteiro,-87012.52908,-105417.3212,0,38.7144366,-9.133545573,0013
Praça Martim Moniz,-87232.5135,-105315.7198,0,38.71533003,-9.1360873,0014
Campo de Santa Clara,-86203.7859,-105290.1984,0,38.71566076,-9.124264061,0015
Cemitério dos Prazeres,-90280.9102,-105463.342,0,38.71369455,-9.171112565,0016
Jardim Botânico,-88358.8048,-104969.3262,0,38.71788174,-9.150015297,0017
Parque de Campismo de Lisboa,-93395.70239,-104309.4605,0,38.72376372,-9.207074661,0018
Monsanto - Alameda Keil do Amaral,-92395,-104728,0,38.72009921,-9.195513512,0019
Avenida da Liberdade - Rua Manuel Jesus Coelho,-88091.2606,-104677.5678,0,38.72099262,-9.146040679,0020
Rua dos Sapadores,-86375,-104678,0,38.72115802,-9.126308694,0021
Campo de Ourique,-90010.1901,-104685.2005,0,38.72073064,-9.168101516,0022
Avenida Almirante Reis,-87155,-104370,0,38.72385559,-9.135315162,0023
Rua Braamcamp,-88550.9634,-104566.7352,0,38.72193774,-9.152167455,0024
Monsanto - Parque Ecológico,-91599.10992,-102497.8149,0,38.74026849,-9.186658409,0025
Parada Alto de São João,-86007.1276,-103793.9521,0,38.72915635,-9.122189,0026
Marquês de Pombal - Alameda Edgar Cardoso,-88532.0078,-104119,0,38.72597949,-9.151179334,0027
Beato - Avenida Infante Dom Henrique,-84726,-103853,0,38.72874822,-9.107450823,0028
Avenida Fontes Pereira de Melo,-88178,-103699,0,38.7297977,-9.147162502,0029
Avenida António Augusto de Aguiar,-88559.4284,-103521.7846,0,38.73135571,-9.151570982,0030
Campo Grande - Museu da Cidade,-88914.7667,-100480.5563,0,38.7587115,-9.156047675,0057
Largo da Madre de Deus,-85362.19952,-103483.993,0,38.73201061,-9.114811563,0031
Rua de Campolide,-89530.5767,-103374.27,0,38.73258651,-9.162756915,0032
Largo do Leão,-86854,-103360,0,38.73298208,-9.131981083,0033
Avenida da Républica,-88039.8519,-103019.5149,0,38.73593143,-9.145660419,0034
Praça São Francisco de Assis,-90230.6469,-99810.64545,0,38.76452521,-9.180960232,0035
Estrada de Monsanto,-92782,-103006,0,38.73556808,-9.20019342,0036
Praça de Espanha,-89242.4546,-102762.485,0,38.73812581,-9.159522719,0037
Marvila - Rua Pedro de Azevedo,-84248.9417,-102673.4017,0,38.74510721,-9.107689329,0038
Estrada de Benfica,-90832.4481,-102079.8348,0,38.74411222,-9.177896684,0039
Avenida João XXI,-87654.92537,-102351.2217,0,38.74198884,-9.141318624,0040
Jardim do Braço de Prata,-83866.0292,-102122.1693,0,38.7444196,-9.097772226,0041
Travessa de Francisco Rezende,-92258.9756,-102128.3935,0,38.74352708,-9.19429606,0042
Avenida Almirante Gago Coutinho,-86856.5089,-102110.1602,0,38.74423887,-9.132166767,0043
Avenida do Santo Condestável,-85491,-102086,0,38.74458965,-9.116465287,0044
Rua Frei Carlos,-89021,-101951,0,38.74545696,-9.157080438,0045
Entrecampos,-88298.41255,-101585.429,0,38.74882206,-9.148816683,0046
Avenida dos Estados Unidos da América,-87200.6266,-101550.1594,0,38.74924877,-9.136194962,0047
Avenida Lusíada,-90821,-101473,0,38.74957895,-9.177844679,0048
Avenida de Roma,-87754,-101374,0,38.75078059,-9.14258196,0049
Chelas - Rua Dr. José Espirito Santo,-84546.2939,-101218.7354,0,38.75249186,-9.10570629,0050
Avenida José Régio,-86461.3973,-101146.4179,0,38.75295783,-9.127743116,0051
Avenida Lusíada / Qta da Granja,-92047.3011,-100986.1557,0,38.75383684,-9.192013682,0052
Rua Lúcio de Azevedo,-90570.1444,-100997.5206,0,38.75388717,-9.175021726,0053
Avenida Marechal Gomes da Costa,-84587.4449,-100762.9207,0,38.75659337,-9.106235364,0054
Avenida do Brasil,-88130,-100741,0,38.75644442,-9.146987283,0055
Avenida General Norton de Matos,-90601.0767,-100598.0552,0,38.75748184,-9.175429845,0056
Jardim Professor António Franco,-90019.9497,-100279.5821,0,38.76040964,-9.168786739,0058
Parque da Vinha - Estação Meteorológica,-86390.3012,-100146.7938,0,38.76196817,-9.127050234,0059
Olivais Sul - Quinta Pedagógica,-85061.7123,-100006.3866,0,38.76336177,-9.111783853,0060
Quinta das Conchas  - Avenida Maria Helena Vieira da Silva,-88841.89539,-99593.60251,0,38.76670734,-9.155323413,0061
Estrada do Paço do Lumiar,-90645.0483,-99147.4463,0,38.77054241,-9.176125845,0062
Estrada Militar,-91608.0409,-98658.5229,0,38.77484653,-9.187269711,0063
Alameda da Encarnação,-85557.2993,-98869.8423,0,38.7735505,-9.11762573,0064
Avenida Doutor Alfredo Bensaúde,-84632,-98834,0,38.77396252,-9.106984035,0065
Rua Ilha dos Amores,-83407.2181,-98395.952,0,38.77802453,-9.092944984,0066
Rua Vasco da Gama Fernandes,-87903.15716,-98372.53108,0,38.77779913,-9.144679191,0067
Laboratório de Bromatologia e Águas,-86038,-98023,0,38.78113107,-9.123261906,0068
Calçada de Carriche,-89823,-97701,0,38.78365404,-9.166856353,0069
Rua Chen He,-83558.48972,-97226.71368,0,38.78854134,-9.094827028,0070
Estrada Militar às Galinheiras,-88392.9253,-96891.6314,0,38.79108817,-9.15050406,0071
Rua Mário Botas,-83922.23571,-100359.2679,0,38.75864086,-9.098511662,0072
Rua Alferes Malheiro,-87078.9361,-100471.4716,0,38.75897624,-9.134931138,0073
Rua da Venezuela,-92962,-101931,0,38.74523124,-9.202407652,0074
Alm. P. Álvaro Proença EMQA,-92895.65403,-101540.5533,0,38.7487548,-9.20169705,0075
Rua da Atalaia,-88028.34189,-105499.5405,0,38.71359556,-9.145212878,0077
Jardim da Estrela,-89255.1331,-105323.8973,0,38.71505459,-9.159338426,0078
Avenida Doutor Francisco Luís Gomes / EMQA,-84666.8,-99295.3,0,38.76980435,-9.107327912,0079
Rua Nau Catrineta cruz Rua Nova dos Mercadores,-83643.90128,-100761.0202,0,38.75670035,-9.09538213,0080
Restauradores - Avenida da Liberdade,-87781.5819,-105178.6847,0,38.71650996,-9.142416812,0076
Avenida Eng. Duarte Pacheco,-88532.0078,-104119,0,38.722952,-9.167161,1027
Avenida de Berlim,-84666.8,-99295.3,0,38.769492,-9.122116,1079
